CounterPrefix,CounterName,CounterType,CounterGroup,SignalWidth,Implementation,InstanceNum,Description,Note
,PendingMemoryRequests_TU-FS{N}TU{N},,,,,4,Number of memory requests issued to memory system,
,PointSampled_TU-FS{N}TU{N},,,,,4,Number of point-sampled texels,
,PreloadTransactions_MC,,,,,,Total memory transactions,
,RAWDependence_CW-SU{N},,,,,4,Number of read-after-write dependency stalls,
,RAWDependence_ZST-SU{N},,,,,4,Number of read-after-write dependency stalls,
,ROPOperatorBusy_CW-SU{N},,,,,4,Cycles when unit/resource is busy processing data,
,ROPOperatorBusy_ZST-SU{N},,,,,4,Cycles when unit/resource is busy processing data,
,RWReqFull_CW-SU{N},,,,,4,Cycles with read/write request queue full,
,RWReqFull_ZST-SU{N},,,,,4,Cycles with read/write request queue full,
,RastStampQueuesOccupation_FFU,,,,,,Average occupancy of rasterizer stamp queues,
,ReFetchedInstr_ShF-FS{N},,,,,4,Number of shader instructions re-fetched due to instruction cache miss,
,ReadBankConflicts_TU-FS{N}TU{N},,,,,4,Number of bank conflicts in read operations,
,ReadBlocks_Blitter,,,,,,Bitblit operation metrics (fast memory-to-memory block transfers),
,ReadBytesMemory_TU-FS{N}TU{N},,,,,4,Read from GPU module to Texture Unit (bytes),
,ReadBytesSystemBus_MC,,,,,,Total bytes read from memory,
,ReadBytes_CW-SU{N},,,,,4,Read for GPU module (bytes),
,ReadBytes_FC64_TU-FS{N}TU{N},,,,,4,Read from GPU module to Texture Unit (bytes),
,ReadBytes_FC_CW-SU{N},,,,,4,Read for GPU module (bytes),
,ReadBytes_FC_InC,,,,,,Read for GPU module (bytes),
,ReadBytes_FC_TU-FS{N}TU{N},,,,,4,Read from GPU module to Texture Unit (bytes),
,ReadBytes_FC_ZST-SU{N},,,,,4,Read for GPU module (bytes),
,ReadBytes_SL{N},,,,,1,Read for GPU module (bytes),
,ReadBytes_Sched{N},,,,,8,Read from GPU module to Memory Scheduler (bytes),
,ReadBytes_StF,,,,,,Read for GPU module (bytes),
,ReadBytes_ZST-SU{N},,,,,4,Read for GPU module (bytes),
,ReadDataBytes_Sched{N},,,,,8,Total bytes transferred on DDR memory bus,
,ReadDataCycles_Sched{N},,,,,8,Cycles with valid data on DDR bus,
,ReadFailed_CW-SU{N},,,,,4,Number of failed memory reads,
,ReadFailed_ZST-SU{N},,,,,4,Number of failed memory reads,
,ReadInputQEmpty_CW-SU{N},,,,,4,Cycles with read input queue empty,
,ReadInputQEmpty_ZST-SU{N},,,,,4,Cycles with read input queue empty,
,ReadInputWaitReadStall_CW-SU{N},,,,,4,Cycles in wait-read phase of texture fetch pipeline,
,ReadInputWaitReadStall_ZST-SU{N},,,,,4,Cycles in wait-read phase of texture fetch pipeline,
,ReadLinePortStall_CW-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,ReadLinePortStall_ZST-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,ReadOK_CW-SU{N},,,,,4,Number of successful memory reads,
,ReadOK_ZST-SU{N},,,,,4,Number of successful memory reads,
,ReadQEmpty_CW-SU{N},,,,,4,Cycles with read queue empty,
,ReadQEmpty_ZST-SU{N},,,,,4,Cycles with read queue empty,
,ReadQFullStall_CW-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,ReadQFullStall_ZST-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,ReadReqAccepted_CW-SU{N},,,,,4,Number of cycles accepting new requests,
,ReadReqAccepted_ZST-SU{N},,,,,4,Number of cycles accepting new requests,
,ReadReqQFull_CW-SU{N},,,,,4,Cycles with read request queue full,
,ReadReqQFull_ZST-SU{N},,,,,4,Cycles with read request queue full,
,ReadRowHit_Sched{N},,,,,8,Read operations that access an already-open memory page (same row),
,ReadRowMiss_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,ReadTransactions_CW-SU{N},,,,,4,Read Transactions for GPU module (transactions),
,ReadTransactions_TU-FS{N}TU{N},,,,,4,Read Transactions from GPU module to Texture Unit (transactions),
,ReadTransactions_ZST-SU{N},,,,,4,Read Transactions for GPU module (transactions),
,ReadsFail_FC64_TU-FS{N}TU{N},,,,,4,Number of failed fetches from cache,
,ReadsFail_FC_CW-SU{N},,,,,4,Number of failed cache read operations (color write cache),
,ReadsFail_FC_InC,,,,,,Number of failed cache read operations (input cache),
,ReadsFail_FC_TU-FS{N}TU{N},,,,,4,Number of failed cache read operations (texture cache),
,ReadsFail_FC_ZST-SU{N},,,,,4,Number of failed cache read operations (Z-stencil cache),
,ReadsFailed_TU-FS{N}TU{N},,,,,4,Number of failed memory reads,
,ReadsHZBuffer_HZ,,,,,,ReadsHZBuffer related metric,
,ReadsOK_FC64_TU-FS{N}TU{N},,,,,4,Number of successful fetches from cache,
,ReadsOK_FC_CW-SU{N},,,,,4,Number of successful cache read operations (color write cache),
,ReadsOK_FC_InC,,,,,,Number of successful cache read operations (input cache),
,ReadsOK_FC_TU-FS{N}TU{N},,,,,4,Number of successful cache read operations (texture cache),
,ReadsOK_FC_ZST-SU{N},,,,,4,Number of successful cache read operations (Z-stencil cache),
,ReadsOK_TU-FS{N}TU{N},,,,,4,Number of successful memory reads from texture cache,
,Reads_SL{N},,,,,1,Number of read operations,
,ReadyReadQueueOccupation_TU-FS{N}TU{N},,,,,4,Cycles waiting for texture data to become ready in pipeline,
,ReadyThreadsAvg_ShF-FS{N},,,,,4,Number of shader threads ready to execute (not data-dependent stalled),
,ReadyThreadsMax_ShF-FS{N},,,,,4,Number of shader threads ready to execute (not data-dependent stalled),
,ReadyThreadsMin_ShF-FS{N},,,,,4,Number of shader threads ready to execute (not data-dependent stalled),
,ReadyThreads_ShF-FS{N},,,,,4,Number of shader threads ready to execute (not data-dependent stalled),
,Ready_CP,,,,,,Number of ready commands processed,
,ReceiveDataPendingWakeUpQueueFull_Blitter,,,,,,Bitblit operation metrics (fast memory-to-memory block transfers),
,RegisterWrites_CP,,,,,,Number of GPU register write commands from API,
,RemovedInstructions_ShDX-FS{N},,,,,4,Number of instructions removed during shader optimizations,
,ReplayCommands_ShDX-FS{N},,,,,4,Number of replay commands restarting instruction execution,
,RequestPendingQueueFull_Blitter,,,,,,Bitblit operation metrics (fast memory-to-memory block transfers),
,RequestQueueOccupation_TU-FS{N}TU{N},,,,,4,Number of requests issued,
,Request_Buffer_ACCUM_Allocated_Entries_MC,,,,,,Number of requests issued,
,Request_Buffer_AVG_Allocated_Entries_MC,,,,,,Number of requests issued,
,RequestedTriangles_TS,,,,,,Number of triangle setup requests processed,
,RequestedTriangles_TT,,,,,,Number of requests issued,
,Requests_PA,,,,,,Number of requests issued,
,Requests_StC,,,,,,Number of requests issued,
,ResultQueueOccupation_TU-FS{N}TU{N},,,,,4,Average number of entries in result queue,
,RowHit_Sched{N},,,,,8,Number of row buffer hits,
,RowMiss_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,SaveRestoreState_CP,,,,,,Number of state save/restore commands,
,Sched{N}_ChSched_AccessingReadDataCycles,,,,,8,Cycles with valid data on DDR bus,
,Sched{N}_ChSched_AccessingReadDelayCycles,,,,,8,Number of cycles sched0_chsched_accessingreaddelay,
,Sched{N}_ChSched_AccessingWriteDataCycles,,,,,8,Cycles with valid data on DDR bus,
,Sched{N}_ChSched_AccessingWriteDelayCycles,,,,,8,Number of cycles sched0_chsched_accessingwritedelay,
,Sched{N}_ChSched_IdleCycles,,,,,8,Number of cycles sched0_chsched_idle,
,Sched{N}_ChSched_OpeningPageCycles,,,,,8,Number of cycles sched0_chsched_openingpage,
,Sched{N}_ChSched_PrevCmdWaitCycles,,,,,8,Number of cycles sched0_chsched_prevcmdwait,
,Sched{N}_ChSched_PrevPageCloseCycles,,,,,8,Number of cycles sched0_chsched_prevpageclose,
,Service_Queue_ACCUM_Items_MC,,,,,,Accumulated service queue items,
,Service_Queue_AVG_Items_MC,,,,,,Average service queue items per cycle,
,ShadedFragments_FFU,,,,,,ShadedFragments related metric,
,ShadedStampQueuesOccupation_FFU,,,,,,Average occupancy of resource,
,ShadedTriangles_FFU,,,,,,ShadedTriangles related metric,
,ShadedVertices_FFU,,,,,,ShadedVertices related metric,
,ShaderOutputs_StC,,,,,,Number of shader outputs generated,
,SplittedAttributes_SL{N},,,,,1,Number of attributes split across memory,
,StallsShaderBusy_SL{N},,,,,1,Number of cycles or events where execution is stalled,
,Stamps{N}Fragment_TT,,,,,5,Stamps{N}Fragment related metric,
,StreamerFetch_AcceptReadCycles_MC,,,,,,Cycles accepting new read requests,
,StreamerFetch_AcceptWriteCycles_MC,,,,,,Cycles accepting new write requests,
,StreamerFetch_CompletedReadChannelTrans_Sched{N}_MC,,,,,8,Number of completed read channel transactions,
,StreamerFetch_ReadBytes_MC,,,,,,Total bytes read from memory,
,StreamerFetch_ReadBytes_Sched{N}_MC,,,,,8,Total bytes read from memory,
,StreamerFetch_ReadChannelTransAccumTime_Sched{N}_MC,,,,,8,Total accumulated latency for read transactions,
,StreamerFetch_ReadTransactions_MC,,,,,,Number of read transactions,
,StreamerFetch_Transactions_MC,,,,,,Total memory transactions,
,StreamerFetch_WriteBytes_MC,,,,,,Total bytes written to memory,
,StreamerFetch_WriteBytes_Sched{N}_MC,,,,,8,Total bytes written to memory,
,StreamerFetch_WriteTransactions_MC,,,,,,Number of write transactions,
,StreamerFetch_completedReadTrans_MC,,,,,,Number of completed operations,
,StreamerFetch_serviceAccumTime_MC,,,,,,Total accumulated service time for memory requests,
,StreamerFetch_serviceTimeAvg_MC,,,,,,Average service time for memory requests,
,StreamerLoader_AcceptReadCycles_MC,,,,,,Cycles accepting new read requests,
,StreamerLoader_AcceptWriteCycles_MC,,,,,,Cycles accepting new write requests,
,StreamerLoader_CompletedReadChannelTrans_Sched{N}_MC,,,,,8,Number of completed read channel transactions,
,StreamerLoader_ReadBytes_MC,,,,,,Total bytes read from memory,
,StreamerLoader_ReadBytes_Sched{N}_MC,,,,,8,Total bytes read from memory,
,StreamerLoader_ReadChannelTransAccumTime_Sched{N}_MC,,,,,8,Total accumulated latency for read transactions,
,StreamerLoader_ReadTransactions_MC,,,,,,Number of read transactions,
,StreamerLoader_Transactions_MC,,,,,,Total memory transactions,
,StreamerLoader_WriteBytes_MC,,,,,,Total bytes written to memory,
,StreamerLoader_WriteBytes_Sched{N}_MC,,,,,8,Total bytes written to memory,
,StreamerLoader_WriteTransactions_MC,,,,,,Number of write transactions,
,StreamerLoader_completedReadTrans_MC,,,,,,Number of completed operations,
,StreamerLoader_serviceAccumTime_MC,,,,,,Total accumulated service time for memory requests,
,StreamerLoader_serviceTimeAvg_MC,,,,,,Average service time for memory requests,
,Swap_CP,,,,,,Frame buffer swap operations,
,SwitchModeCount_Sched{N},,,,,8,Number of mode switches in scheduler,
,SwizzlingPendingQueueFull_Blitter,,,,,,Bitblit operation metrics (fast memory-to-memory block transfers),
,TestStampQueuesOccupation_FFU,,,,,,Average occupancy of resource,
,TestedFragments_ZST-SU{N},,,,,4,Number of fragments submitted for depth/stencil testing,
,TextureRequests_ShDX-FS{N},,,,,4,Texture fetch requests issued by shader execution unit,
,TextureRequests_TU-FS{N}TU{N},,,,,4,Texture fetch requests received by texture unit,
,TextureResultLatency_TU-FS{N}TU{N},,,,,4,Latency from texture request to result,
,TextureResults_TU-FS{N}TU{N},,,,,4,Number of texture results returned,
,TextureUnit{N}_CompletedReadChannelTrans_Sched{N}_MC,,,,,4,Number of completed read channel transactions,
,TextureUnit{N}_ReadBytes_Sched{N}_MC,,,,,4,Total bytes read from memory,
,TextureUnit{N}_ReadChannelTransAccumTime_Sched{N}_MC,,,,,4,Total accumulated latency for read transactions,
,TextureUnit{N}_WriteBytes_Sched{N}_MC,,,,,4,Total bytes written to memory,
,TextureUnit_AcceptReadCycles_MC,,,,,,Cycles accepting new read requests,
,TextureUnit_AcceptWriteCycles_MC,,,,,,Cycles accepting new write requests,
,TextureUnit_ReadBytes_MC,,,,,,Total bytes read from memory,
,TextureUnit_ReadTransactions_MC,,,,,,Number of read transactions,
,TextureUnit_Transactions_MC,,,,,,Total memory transactions,
,TextureUnit_WriteBytes_MC,,,,,,Total bytes written to memory,
,TextureUnit_WriteTransactions_MC,,,,,,Number of write transactions,
,TextureUnit_completedReadTrans_MC,,,,,,Number of completed operations,
,TextureUnit_serviceAccumTime_MC,,,,,,Total accumulated service time for memory requests,
,TextureUnit_serviceTimeAvg_MC,,,,,,Average service time for memory requests,
,TextureUnit{N}_AcceptReadCycles_MC,,,,,4,Cycles accepting new read requests,
,TextureUnit{N}_AcceptWriteCycles_MC,,,,,4,Cycles accepting new write requests,
,TextureUnit{N}_ReadBytes_MC,,,,,4,Total bytes read from memory,
,TextureUnit{N}_ReadTransactions_MC,,,,,4,Number of read transactions,
,TextureUnit{N}_Transactions_MC,,,,,4,Total memory transactions,
,TextureUnit{N}_WriteBytes_MC,,,,,4,Total bytes written to memory,
,TextureUnit{N}_WriteTransactions_MC,,,,,4,Number of write transactions,
,TextureUnit{N}_completedReadTrans_MC,,,,,4,Number of completed operations,
,TextureUnit{N}_serviceAccumTime_MC,,,,,4,Total accumulated service time for memory requests,
,TextureUnit{N}_serviceTimeAvg_MC,,,,,4,Average service time for memory requests,
,TotalReadBytes_MC,,,,,,Total bytes read from memory,
,TotalReadTransactions_MC,,,,,,Number of read transactions,
,TotalTransactions_MC,,,,,,Total memory transactions,
,TotalWriteBytes_MC,,,,,,Total bytes written to memory,
,TotalWriteTransactions_MC,,,,,,Number of write transactions,
,TriangleInputQueueOccupation_FFU,,,,,,Average queue occupancy level,
,TriangleOutputQueueOccupation_FFU,,,,,,Average queue occupancy level,
,TrianglesGreaterScreen_TS,,,,,,Number of triangles larger than screen (full-screen or larger),
,TrianglesLess_1_TS,,,,,,Number of degenerate triangles covering < 1 pixel,
,TrianglesOverlap_1x1_TS,,,,,,Distribution of triangle footprints across pixel grid,
,TrianglesOverlap_2x2_TS,,,,,,Distribution of triangle footprints across pixel grid,
,Triangles1000_to_Screen_TS,,,,,,Number of triangles covering 1000+ pixels,
,Triangles100_to_1000_TS,,,,,,Number of triangles covering 100-1000 pixels,
,Triangles16_to_100_TS,,,,,,Number of triangles covering 16-100 pixels,
,Triangles1_to_4_TS,,,,,,Number of triangles covering 1-4 pixels,
,Triangles4_to_16_TS,,,,,,Number of triangles covering 4-16 pixels,
,Triangles_PA,,,,,,Triangles related metric,
,UnblockCommands_ShDX-FS{N},,,,,4,Number of unblock commands issued to resume shader execution,
,Unblocks_ShF-FS{N},,,,,4,Number of times shader execution was blocked,
,Unreserves_FC64_TU-FS{N}TU{N},,,,,4,Number of unreserve operations,
,Unreserves_FC_CW-SU{N},,,,,4,Unreserves related metric,
,Unreserves_FC_InC,,,,,,Unreserves related metric,
,Unreserves_FC_TU-FS{N}TU{N},,,,,4,Unreserves related metric,
,Unreserves_FC_ZST-SU{N},,,,,4,Unreserves related metric,
,UpdatesHZ_ZST-SU{N},,,,,4,Number of hierarchical Z buffer updates,
,UsedResources_ShF-FS{N},,,,,4,Number of resources currently in use,
,UtilizationCycles_TT,,,,,,UtilizationCycles related metric,
,VertexInputQueueOccupation_FFU,,,,,,Average queue occupancy level,
,VertexOutputQueueOccupation_FFU,,,,,,Average queue occupancy level,
,Vertices_PA,,,,,,Vertices related metric,
,WaitReadWindowOccupation_TU-FS{N}TU{N},,,,,4,Cycles in wait-read phase of texture fetch pipeline,
,WaitWriteStall_CW-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,WaitWriteStall_ZST-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,WastedCycles_ACT_TO_ACT_Sched{N},,,,,8,Cycles unable to complete DDR operation due to scheduling dependencies,
,WastedCycles_ACT_TO_PRE_Sched{N},,,,,8,Cycles unable to complete DDR operation due to scheduling dependencies,
,WastedCycles_ACT_TO_READ_Sched{N},,,,,8,Cycles unable to complete DDR operation due to scheduling dependencies,
,WastedCycles_ACT_TO_WRITE_Sched{N},,,,,8,Cycles unable to complete DDR operation due to scheduling dependencies,
,WastedCycles_CASLatency_Sched{N},,,,,8,Cycles unable to complete DDR operation due to scheduling dependencies,
,WastedCycles_PRE_TO_ACT_Sched{N},,,,,8,Cycles unable to complete DDR operation due to scheduling dependencies,
,WastedCycles_READ_TO_PRE_Sched{N},,,,,8,Cycles unable to complete DDR operation due to scheduling dependencies,
,WastedCycles_READ_TO_WRITE_Sched{N},,,,,8,Cycles unable to complete DDR operation due to scheduling dependencies,
,WastedCycles_WRITE_TO_PRE_Sched{N},,,,,8,Cycles unable to complete DDR operation due to scheduling dependencies,
,WastedCycles_WRITE_TO_READ_Sched{N},,,,,8,Cycles unable to complete DDR operation due to scheduling dependencies,
,WastedCycles_WriteLatency_Sched{N},,,,,8,Cycles unable to complete DDR operation due to scheduling dependencies,
,WriteBytesSystemBus_MC,,,,,,Total bytes written to memory,
,WriteBytes_CW-SU{N},,,,,4,Write for GPU module (bytes),
,WriteBytes_FC64_TU-FS{N}TU{N},,,,,4,Write from GPU module to Texture Unit (bytes),
,WriteBytes_FC_CW-SU{N},,,,,4,Write for GPU module (bytes),
,WriteBytes_FC_InC,,,,,,Write for GPU module (bytes),
,WriteBytes_FC_TU-FS{N}TU{N},,,,,4,Write from GPU module to Texture Unit (bytes),
,WriteBytes_FC_ZST-SU{N},,,,,4,Write for GPU module (bytes),
,WriteBytes_Sched{N},,,,,8,Write from GPU module to Memory Scheduler (bytes),
,WriteBytes_ZST-SU{N},,,,,4,Write for GPU module (bytes),
,WriteDataBytes_Sched{N},,,,,8,Total bytes transferred on DDR memory bus,
,WriteDataCycles_Sched{N},,,,,8,Cycles with valid data on DDR bus,
,WriteFailed_CW-SU{N},,,,,4,Number of failed memory writes,
,WriteFailed_ZST-SU{N},,,,,4,Number of failed memory writes,
,WriteLinePortStall_CW-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,WriteLinePortStall_ZST-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,WriteOK_CW-SU{N},,,,,4,Number of successful memory writes,
,WriteOK_ZST-SU{N},,,,,4,Number of successful memory writes,
,WriteOutQEmpty_CW-SU{N},,,,,4,Cycles with write output queue empty,
,WriteOutQEmpty_ZST-SU{N},,,,,4,Cycles with write output queue empty,
,WritePendingQueueFull_Blitter,,,,,,Bitblit operation metrics (fast memory-to-memory block transfers),
,WriteQEmpty_CW-SU{N},,,,,4,Cycles with write queue empty,
,WriteQEmpty_ZST-SU{N},,,,,4,Cycles with write queue empty,
,WriteQFullStall_CW-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,WriteQFullStall_ZST-SU{N},,,,,4,Number of cycles or events where execution is stalled,
,WriteReqAccepted_CW-SU{N},,,,,4,Number of cycles accepting new requests,
,WriteReqAccepted_ZST-SU{N},,,,,4,Number of cycles accepting new requests,
,WriteReqQFull_CW-SU{N},,,,,4,Cycles with write request queue full,
,WriteReqQFull_ZST-SU{N},,,,,4,Cycles with write request queue full,
,WriteRowHit_Sched{N},,,,,8,Write operations that access an already-open memory page (same row),
,WriteRowMiss_Sched{N},,,,,8,Memory accesses that require opening a new row (precharge + activate),
,WriteTransactions_CP,,,,,,Write Transactions for GPU module (transactions),
,WriteTransactions_CW-SU{N},,,,,4,Write Transactions for GPU module (transactions),
,WriteTransactions_ZST-SU{N},,,,,4,Write Transactions for GPU module (transactions),
,WritesFail_FC64_TU-FS{N}TU{N},,,,,4,Number of failed writes to cache,
,WritesFail_FC_CW-SU{N},,,,,4,Number of failed cache write operations (color write cache),
,WritesFail_FC_InC,,,,,,Number of failed cache write operations (input cache),
,WritesFail_FC_TU-FS{N}TU{N},,,,,4,Number of failed cache write operations (texture cache),
,WritesFail_FC_ZST-SU{N},,,,,4,Number of failed cache write operations (Z-stencil cache),
,WritesHZBuffer_HZ,,,,,,WritesHZBuffer related metric,
,WritesOK_FC64_TU-FS{N}TU{N},,,,,4,Number of successful writes to cache,
,WritesOK_FC_CW-SU{N},,,,,4,Number of successful cache write operations (color write cache),
,WritesOK_FC_InC,,,,,,Number of successful cache write operations (input cache),
,WritesOK_FC_TU-FS{N}TU{N},,,,,4,Number of successful cache write operations (texture cache),
,WritesOK_FC_ZST-SU{N},,,,,4,Number of successful cache write operations (Z-stencil cache),
,WrittenBlocks_Blitter,,,,,,Bitblit operation metrics (fast memory-to-memory block transfers),
,ZExports_ShDX-FS{N},,,,,4,Number of depth/Z-buffer exports from shader,
,ZStencilTest{N}_CompletedReadChannelTrans_Sched{N}_MC,,,,,4,Number of completed read channel transactions,
,ZStencilTest{N}_ReadBytes_Sched{N}_MC,,,,,4,Total bytes read from memory,
,ZStencilTest{N}_ReadChannelTransAccumTime_Sched{N}_MC,,,,,4,Total accumulated latency for read transactions,
,ZStencilTest{N}_WriteBytes_Sched{N}_MC,,,,,4,Total bytes written to memory,
,ZStencilTest_AcceptReadCycles_MC,,,,,,Cycles accepting new read requests,
,ZStencilTest_AcceptWriteCycles_MC,,,,,,Cycles accepting new write requests,
,ZStencilTest_ReadBytes_MC,,,,,,Total bytes read from memory,
,ZStencilTest_ReadTransactions_MC,,,,,,Number of read transactions,
,ZStencilTest_Transactions_MC,,,,,,Total memory transactions,
,ZStencilTest_WriteBytes_MC,,,,,,Total bytes written to memory,
,ZStencilTest_WriteTransactions_MC,,,,,,Number of write transactions,
,ZStencilTest_completedReadTrans_MC,,,,,,Number of completed operations,
,ZStencilTest_serviceAccumTime_MC,,,,,,Total accumulated service time for memory requests,
,ZStencilTest_serviceTimeAvg_MC,,,,,,Average service time for memory requests,
,ZStencilTest{N}_AcceptReadCycles_MC,,,,,4,Cycles accepting new read requests,
,ZStencilTest{N}_AcceptWriteCycles_MC,,,,,4,Cycles accepting new write requests,
,ZStencilTest{N}_ReadBytes_MC,,,,,4,Total bytes read from memory,
,ZStencilTest{N}_ReadTransactions_MC,,,,,4,Number of read transactions,
,ZStencilTest{N}_Transactions_MC,,,,,4,Total memory transactions,
,ZStencilTest{N}_WriteBytes_MC,,,,,4,Total bytes written to memory,
,ZStencilTest{N}_WriteTransactions_MC,,,,,4,Number of write transactions,
,ZStencilTest{N}_completedReadTrans_MC,,,,,4,Number of completed operations,
,ZStencilTest{N}_serviceAccumTime_MC,,,,,4,Total accumulated service time for memory requests,
,ZStencilTest{N}_serviceTimeAvg_MC,,,,,4,Average service time for memory requests,
,act2actCycles_Sched{N},,,,,8,Cycles between consecutive activate commands,
,act2preCycles_Sched{N},,,,,8,Cycles between activate and precharge commands,
,act2readCycles_Sched{N},,,,,8,Cycles between activate and read commands,
,act2writeCycles_Sched{N},,,,,8,Cycles between activate and write commands,
,bitBlitCycles_CP,,,,,,Number of cycles spent on bit-blitting operations,
,ctrlIdleCycles_Sched{N},,,,,8,Cycles with bank controller idle,
,ctrlUsedCycles_Sched{N},,,,,8,Cycles with bank controller active,
,pre2actCycles_Sched{N},,,,,8,Cycles between precharge and activate commands,
,read2preCycles_Sched{N},,,,,8,Cycles between read and precharge commands,
,read2readCycles_Sched{N},,,,,8,Cycles between consecutive read commands,
,read2writeCycles_Sched{N},,,,,8,Cycles between read and write commands,
,sumPreAct2AccessCycles_Sched{N},,,,,8,Sum of precharge-to-access cycles,
,write2preCycles_Sched{N},,,,,8,Cycles between write and precharge commands,
,write2readCycles_Sched{N},,,,,8,Cycles between write and read commands,
,write2writeCycles_Sched{N},,,,,8,Cycles between consecutive write commands,
